name,TRI,mean_elev,median_elev,min_elev,max_elev,mean_csi,sd_csi,n_habitat,archipelago
Cayo Guillermo,3.287427862,3.858082381,3,-4,14,0.124933653,NA,6,carib
Cayo Güincho,2.948787776,2.581818182,3,0,5,0.143370129,0.000589118,8,carib
Cayo Guzmán,4.383618823,5.31875,5,0,12,0.131471798,0.000138747,7,carib
Cayo Hachuela,5.960636139,4.925589837,5,-26,37,0.129763734,0.003144597,7,carib
Cayo Hicacos,8.113799038,5.871271586,6,-59,11,0.138286874,0.005269578,13,carib
Cayo Iguana,2.494962917,2.970845481,3,-1,8,0.127581105,0.003800142,7,carib
Cayo Iguana.1,2.822592653,4.261612022,4,1,13,0.128158823,NA,7,carib
Cayo Inés de Soto,41.10643428,11.49887892,8,-1560,640,0.125889778,0.002563693,12,carib
Cayo Juan Ruíz,9.918503269,7.437037037,7,-6,76,0.123765588,NA,8,carib
Cayo Judas,2.737668074,3.625421822,3,-2,15,0.143270075,0.005526889,5,carib
Cayo Jutias,6.639255854,7.504098361,7,-1,23,0.136779279,NA,10,carib
Cayo La Aguada,3.920065905,4.718535469,5,0,9,0.126411352,0.002769538,10,carib
Cayo La Alegría,3.531463172,2.223533751,2,-13,45,0.129760265,NA,6,carib
Cayo La Grifa,12.07788665,7.247663551,7,-16,29,0.134204075,NA,8,carib
Cayo La Potala,3.621393075,3.766851339,3,-35,54,0.126834693,0.003576151,7,carib
Cayo La Vieja Pepilla,4.342436803,4.532110092,5,-10,12,0.127721906,NA,10,carib
Cayo La Yana,4.011991279,5.939278937,6,-1,11,0.125762607,0.001602638,5,carib
Cayo Lanzanillo,4.891316101,6.041916168,6,-5,20,0.130388759,0.005015486,8,carib
Cayo Largo,9.148679368,5.980885842,6,-526,128,0.131856008,0.006527208,9,carib
Cayo Las Caguamas,6.418173172,0.516516517,1,-107,7,0.146097315,0.012057367,6,carib
Cayo Las Picúas,2.985180565,4.792553191,5,-4,16,0.127343133,NA,7,carib
Cayo Levisa,13.34933524,3.90990991,3,-21,23,0.130545909,0.011139238,5,carib
Cayo Los Cayuelos,5.726258534,0.675925926,0,-15,15,0.124082267,NA,6,carib
Cayo Los Machos,3.360253274,1.49,1,-2,7,0.13673459,0.004557444,6,carib
Cayo Los Quitasoles,4.346622557,5.529049296,5,-5,56,0.128616643,0.003273416,10,carib
Cayo Lucas,5.001672012,2.429433052,2,-9,24,0.126513677,0.001438676,6,carib
Cayo Luis Pena,40.81082326,39.85490196,30,1,139,0.14607159,0.007054107,8,carib
Cayo Majá,4.437978262,4.890160183,5,-9,11,0.127850726,0.00018218,6,carib
Cayo Mal País,3.799920455,4.263291139,4,1,10,0.128404533,0.002603139,6,carib
Cayo Mangle Alto,4.275663283,3.154835745,3,-79,22,0.147023574,0.001786478,6,carib
Cayo Marcos,3.304931856,2.665239115,3,-3,8,0.120612457,NA,7,carib
Cayo Mariposa,3.155174061,4.520458265,4,1,10,0.128549248,0.001417504,11,carib
Cayo Matías,4.223786052,6.79957657,7,-7,20,0.142552614,NA,6,carib
Cayo Medano de Casiguas,4.118685139,4.600512164,4,-4,30,0.122248553,0.000499841,9,carib
Cayo Media Luna,3.680830471,3.776679842,4,-6,8,0.139137492,5.76E-05,8,carib
Cayo Mégano Grande,2.907600176,2.630789302,3,-18,10,0.131944403,6.88E-05,5,carib
Cayo Miraflores,56.50776121,-2.036603221,1,-292,11,0.172992196,0.020390104,8,carib
Cayo Moa Grande,8.831650522,4.791183295,5,-56,26,0.17723085,NA,6,carib
Cayo Montañés,3.553535217,4.382142857,4,2,9,0.137107022,0.004870585,5,carib
Cayo Norte,32.93866635,31.40343348,24,1,94,0.14572002,0.005322083,5,carib
Cayo Palma,5.38566573,7.954602774,8,-2,15,0.128111318,NA,7,carib
