"SpeciesName","Genus","Species","Longitude","Latitude","First","Second","Third","datasetKey","areas"
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-81.158065","22.367062","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-82.813","21.874667","Cuba","Isla de la Juventura",NA,"09c4287e-e6d5-4552-a07f-bff8a00833d8",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-74.426333","20.277333","Cuba",NA,NA,"09c4287e-e6d5-4552-a07f-bff8a00833d8",1.22e+11
"Tropidophis feicki Schwartz, 1957","Tropidophis","feicki","-83.012333","22.796","Cuba",NA,NA,"09c4287e-e6d5-4552-a07f-bff8a00833d8",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.671","20.0113","Cuba",NA,NA,"26098c25-8f7f-4c71-97ac-1d3db181c65e",1.22e+11
"Tropidophis pardalis (Gundlach, 1840)","Tropidophis","pardalis","-75.671","20.0113","Cuba",NA,NA,"26098c25-8f7f-4c71-97ac-1d3db181c65e",1.22e+11
"Tropidophis pardalis (Gundlach, 1840)","Tropidophis","pardalis","-75.671","20.0113","Cuba",NA,NA,"26098c25-8f7f-4c71-97ac-1d3db181c65e",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.671","20.0113","Cuba",NA,NA,"26098c25-8f7f-4c71-97ac-1d3db181c65e",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.67","20.01","Cuba",NA,NA,"d8cd16ba-bb74-4420-821e-083f2bac17c2",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-77.2","19.91","Cuba",NA,NA,"d8cd16ba-bb74-4420-821e-083f2bac17c2",1.22e+11
"Tropidophis pardalis (Gundlach, 1840)","Tropidophis","pardalis","-75.67","20.01","Cuba",NA,NA,"d8cd16ba-bb74-4420-821e-083f2bac17c2",1.22e+11
"BOLD:ADI1906","BOLD:ADI1906",NA,"-77.20422","19.90821","Cuba",NA,NA,"040c5662-da76-4782-a48e-cdea1892d14c",1.22e+11
"BOLD:ADI1906","BOLD:ADI1906",NA,"-75.67397","20.007626","Cuba",NA,NA,"040c5662-da76-4782-a48e-cdea1892d14c",1.22e+11
"BOLD:ADI3380","BOLD:ADI3380",NA,"-75.67397","20.007626","Cuba",NA,NA,"040c5662-da76-4782-a48e-cdea1892d14c",1.22e+11
